Datetime,Close,Open,High,Low,Volume
2020-06-18 09:00:00+08,10.899999618530273,10.899999618530273,10.899999618530273,10.899999618530273,0
2020-06-18 09:08:00+08,10.920000076293945,11.0,11.0,10.920000076293945,1600
2020-06-18 09:25:00+08,11.0,11.0,11.0,11.0,1000
2020-06-18 09:29:00+08,11.0,11.0,11.0,11.0,1300
2020-06-18 09:33:00+08,10.960000038146973,11.0,11.0,10.960000038146973,300
2020-06-18 09:36:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,200
2020-06-18 09:40:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,200
2020-06-18 09:45:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,600
2020-06-18 09:58:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,500
2020-06-18 10:00:00+08,10.960000038146973,10.979999542236328,10.979999542236328,10.960000038146973,900
2020-06-18 10:02:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,2300
2020-06-18 10:08:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,200
2020-06-18 10:09:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,600
2020-06-18 10:17:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,200
2020-06-18 10:24:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,600
2020-06-18 10:32:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,700
2020-06-18 10:37:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,1500
2020-06-18 10:41:00+08,11.0,11.0,11.0,11.0,100
2020-06-18 10:46:00+08,11.0,11.0,11.0,11.0,4200
2020-06-18 10:54:00+08,11.0,11.020000457763672,11.020000457763672,11.0,700
2020-06-18 10:59:00+08,11.0,11.0,11.0,11.0,500
2020-06-18 11:01:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,200
2020-06-18 11:07:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,100
2020-06-18 11:08:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,0
2020-06-18 11:09:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,18700
2020-06-18 11:31:00+08,11.0,11.0,11.0,11.0,500
2020-06-18 11:32:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,100
2020-06-18 11:33:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,300
2020-06-18 11:36:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,1100
2020-06-18 12:03:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,1000
2020-06-18 12:05:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,800
2020-06-18 12:14:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,800
2020-06-18 14:48:00+08,11.0,11.0,11.0,11.0,100
2020-06-18 14:49:00+08,11.020000457763672,11.020000457763672,11.020000457763672,11.020000457763672,500
2020-06-18 14:56:00+08,11.0,11.0,11.0,11.0,10400
2020-06-18 14:57:00+08,11.0,11.0,11.0,11.0,8600
2020-06-18 15:00:00+08,10.979999542236328,11.0,11.0,10.979999542236328,16900
2020-06-18 15:04:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,1400
2020-06-18 15:05:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,200
2020-06-18 15:08:00+08,10.960000038146973,10.979999542236328,10.979999542236328,10.960000038146973,4100
2020-06-18 15:11:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,1000
2020-06-18 15:15:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,300
2020-06-18 15:18:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,300
2020-06-18 15:23:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,2000
2020-06-18 15:24:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,3000
2020-06-18 15:31:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,300
2020-06-18 15:32:00+08,10.960000038146973,10.960000038146973,10.960000038146973,10.960000038146973,200
2020-06-18 15:37:00+08,10.979999542236328,10.979999542236328,10.979999542236328,10.979999542236328,9300
