Datetime,Close,Open,High,Low,Volume
2020-06-18 11:56:00+08,1.7100000381469727,1.7100000381469727,1.7100000381469727,1.7100000381469727,0
2020-06-18 12:19:00+08,1.690000057220459,1.690000057220459,1.690000057220459,1.690000057220459,300
2020-06-18 14:33:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,3000
2020-06-18 14:42:00+08,1.7100000381469727,1.7100000381469727,1.7100000381469727,1.7100000381469727,2000
2020-06-18 15:50:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,5000
2020-06-18 15:53:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,5000
2020-06-18 15:59:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,5000
2020-06-18 16:22:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,5000
2020-06-18 16:25:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,100
2020-06-18 16:29:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,1900
2020-06-18 16:50:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,100
2020-06-18 16:53:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,4000
2020-06-18 16:55:00+08,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,3000
