symbol,counter,date,force_sum,force_max,force_min,force_mean,force_std,price_change_min,price_change_max,price_change_std,buy_vol_chg_max,buy_vol_chg_mean,sell_vol_chg_max,sell_vol_chg_mean
ITRONIC,9393,2020-04-14,-33.33333333333333,0.0,-33.33333333333333,-0.29498525073746307,3.135736227945324,-16.666666666666664,0.0,1.567868113972662,5000.0,499.9333333333333,300.0,24.566666666666666
ITRONIC,9393,2020-04-13,-121.79487179487181,0.0,-83.33333333333331,-0.4258561950869644,5.419868349727978,-16.666666666666664,0.0,1.0839736699455957,200.0,22.037037037037038,300.0,24.11111111111111
ITRONIC,9393,2020-04-08,-115.38461538461536,0.0,-115.38461538461536,-0.3583373148590539,6.4301332220233,-23.076923076923073,0.0,1.2860266444046604,5000.0,312.33125,827.0,62.628125
ITRONIC,9393,2020-04-07,0.0,,,,,,,,0.0,-0.03333333333333333,100.0,31.5
KEYASIC,0143,2020-06-18,-121975.34349708272,48773.68421052626,-182366.66666666642,-254.6458110586278,9179.499384809547,-5.000000000000004,5.263157894736836,1.329118658168824,5000.0,113.812356195528,36640.0,171.7068471002311
KEYASIC,0143,2020-06-17,-198063.18417090178,64736.36363636358,-101731.81818181834,-413.49307760104756,8351.692739487526,-4.545454545454552,4.761904761904767,1.4331578259726399,5000.0,22.95657963408255,39230.0,185.73587993755228
KEYASIC,0143,2020-06-16,1067291.4529604488,381760.00000000035,-377926.92307692394,2228.1658725687867,31525.039254014748,-5.5555555555555465,13.333333333333353,1.3814452928470426,5000.0,72.64987879859856,54566.0,131.21518433078185
KEYASIC,0143,2020-06-15,-14765.703474372207,4210.526315789469,-11111.111111111093,-31.15127315268398,736.2088331606845,-5.882352941176472,6.25,1.1559120664507727,5000.0,41.31553350108807,18415.0,211.80263480121593
KEYASIC,0143,2020-06-12,-59145.90342277265,10526.315789473672,-46500.00000000001,-123.47787770933748,2434.5745127022647,-15.000000000000002,11.764705882352944,1.5318175506703444,5000.0,107.01991045570593,14456.0,79.72668959828052
KEYASIC,0143,2020-06-11,-3511.0747223790668,11428.571428571442,-12857.14285714284,-7.33000985882895,843.5254931330827,-4.761904761904756,4.999999999999982,1.085781510679026,5000.0,-18.368238781150385,23836.0,154.3385457905349
KEYASIC,0143,2020-06-10,-13383.107472237934,954.5454545454537,-4782.608695652183,-28.23440394986906,352.3849834846076,-4.545454545454552,4.761904761904767,0.688547730459517,5000.0,38.59934970002387,21816.0,144.93384536340267
KEYASIC,0143,2020-06-09,-24771.005081874733,4999.999999999995,-27086.956521739183,-51.71399808324579,1313.9456339992348,-4.761904761904756,4.999999999999982,0.9970708345835935,5000.0,150.20834317271496,42871.0,124.0277539663163
KEYASIC,0143,2020-06-07,3736.5894974590583,9523.809523809534,-4347.82608695653,7.849977935838358,558.5419629994881,-4.545454545454552,4.761904761904767,0.8495306984425751,5000.0,13.217043536647122,26189.0,139.08070182588085
KEYASIC,0143,2020-06-06,3736.5894974590583,9523.809523809534,-4347.82608695653,7.849977935838358,558.5419629994881,-4.545454545454552,4.761904761904767,0.8495306984425751,5000.0,13.217043536647122,26189.0,139.08070182588085
KEYASIC,0143,2020-06-05,3736.5894974590583,9523.809523809534,-4347.82608695653,7.849977935838358,558.5419629994881,-4.545454545454552,4.761904761904767,0.8495306984425751,5000.0,13.217043536647122,26189.0,139.08070182588085
KEYASIC,0143,2020-06-04,-89010.80368906475,9090.909090909083,-61256.521739130556,-188.1835173130333,2990.842216704264,-4.34782608695653,4.545454545454541,1.0370891398129793,5000.0,30.269904738489334,19571.0,202.08578634408826
KEYASIC,0143,2020-06-03,118377.14097496695,108781.81818181809,-521.7391304347836,248.6914726364852,4993.8629849373465,-4.34782608695653,4.545454545454541,0.6920383951019011,5000.0,6.255478561706098,32186.0,331.68725000474353
KEYASIC,0143,2020-06-02,-34144.277591973354,14000.000000000013,-19230.769230769274,-71.5812947420825,1651.8163442552325,-4.1666666666666625,4.347826086956519,1.0213440347467684,5000.0,22.96438171701699,82331.0,192.13739047170094
KEYASIC,0143,2020-06-01,80752.05392433632,63959.09090909085,-20833.333333333314,168.93735130614292,4233.543567186741,-4.761904761904756,4.999999999999982,1.0949741938874447,5000.0,74.42735173945589,70928.0,148.68104695423537
KEYASIC,0143,2020-05-31,-2307.218045112803,2499.999999999991,-4000.0000000000036,-4.836935105058287,251.79850579482704,-5.000000000000004,5.263157894736836,0.8833925925113905,5000.0,-32.62205138857038,20156.0,211.24657727473416
KEYASIC,0143,2020-05-30,-2307.218045112803,2499.999999999991,-4000.0000000000036,-4.836935105058287,251.79850579482704,-5.000000000000004,5.263157894736836,0.8833925925113905,5000.0,-32.62205138857038,20156.0,211.24657727473416
KEYASIC,0143,2020-05-29,-2307.218045112803,2499.999999999991,-4000.0000000000036,-4.836935105058287,251.79850579482704,-5.000000000000004,5.263157894736836,0.8833925925113905,5000.0,-32.62205138857038,20156.0,211.24657727473416
KEYASIC,0143,2020-05-28,178223.8095238089,150999.99999999948,-4285.71428571428,377.59281678773067,7112.967410595654,-4.761904761904756,4.999999999999982,0.7793106241053879,5000.0,72.30636509752642,40570.0,463.7818298835032
KEYASIC,0143,2020-05-27,-45510.173160173224,952.3809523809534,-31818.181818181863,-95.01079991685432,1495.117372616769,-4.545454545454552,4.761904761904767,0.8516399293271159,5000.0,65.142023155416,31737.0,230.05389879231046
KEYASIC,0143,2020-05-24,-161575.10822510807,10499.999999999962,-137447.61904761888,-338.02323896466123,6402.363523555223,-4.761904761904756,4.999999999999982,0.8980483382557433,5000.0,14.493915148475088,21912.0,163.7484904984991
KEYASIC,0143,2020-05-23,-161575.10822510807,10499.999999999962,-137447.61904761888,-338.02323896466123,6402.363523555223,-4.761904761904756,4.999999999999982,0.8980483382557433,5000.0,14.493915148475088,21912.0,163.7484904984991
KEYASIC,0143,2020-05-22,-161575.10822510807,10499.999999999962,-137447.61904761888,-338.02323896466123,6402.363523555223,-4.761904761904756,4.999999999999982,0.8980483382557433,5000.0,14.493915148475088,21912.0,163.7484904984991
KEYASIC,0143,2020-05-21,24925.428194993376,27069.565217391286,-4347.82608695653,53.03282594679442,1285.5943714178284,-4.34782608695653,4.545454545454541,0.6640357165826096,5000.0,31.95757327812264,29545.0,196.95669556969767
KEYASIC,0143,2020-05-20,45210.935441369904,128340.90909090897,-65008.69565217404,94.5835469484726,6638.648098443709,-4.34782608695653,4.545454545454541,0.9247798669364277,5000.0,149.28799592604034,40524.0,243.529084709342
