,symbol,code,retracement_level
158,TOPVISN,03013,Fibo236_dist
159,KPJ,5878,Fibo764_dist
160,PENERGY,5133,Fibo764_dist
161,TGUAN,7034,Fibo618_dist
162,JAKS,4723,Fibo764_dist
163,SYMLIFE,1538,Fibo500_dist
164,MAYBANK,1155,Fibo764_dist
165,COMFORT,2127,Fibo500_dist
166,MFGROUP,03015,
167,HAIO,7668,Fibo236_dist
168,SLP,7248,Fibo500_dist
169,DPIH,0205,Fibo382_dist
170,DANCO,5276,Fibo382_dist
171,EDGENTA,1368,Fibo764_dist
172,IDEAL,9687,Fibo236_dist
173,ECONBHD,5253,Fibo382_dist
174,REVENUE,0200,Fibo500_dist
175,AMTEL,7031,Fibo618_dist
176,MMSV,0113,Fibo382_dist
177,KHIND,7062,Fibo764_dist
178,BCMALL,0187,Fibo618_dist
179,AXREIT,5106,Fibo500_dist
180,DPHARMA,7148,Fibo382_dist
181,PWRWELL,0217,Fibo618_dist
182,OCR,7071,Fibo500_dist
183,WEGMANS,0197,Fibo382_dist
184,DPS,7198,Fibo236_dist
185,PCCS,6068,Fibo500_dist
186,SLVEST,0215,Fibo236_dist
187,CRG,03016,Fibo236_dist
188,BCB,6602,Fibo236_dist
189,MFCB,3069,Fibo382_dist
190,D&O,7204,Fibo382_dist
191,EUPE,6815,Fibo382_dist
192,VSTECS,5162,Fibo382_dist
193,ISTONE,0209,Fibo382_dist
194,DELEUM,5132,Fibo382_dist
195,IBRACO,5084,Fibo764_dist
196,VS,6963,Fibo618_dist
197,TOPGLOV,7113,Fibo236_dist
198,MAGNUM,3859,Fibo382_dist
199,RHBBANK,1066,Fibo764_dist
200,KIPREIT,5280,Fibo500_dist
201,HLBANK,5819,Fibo500_dist
202,PETDAG,5681,Fibo764_dist
203,HLT,0188,Fibo500_dist
204,SCOMNET,0001,Fibo500_dist
205,SUNREIT,5176,Fibo500_dist
206,SMILE,03023,Fibo764_dist
207,MSC,5916,Fibo236_dist
208,OIB,5827,Fibo764_dist
209,VIS,0120,Fibo382_dist
210,BIPORT,5032,Fibo500_dist
211,MPI,3867,Fibo236_dist
212,HIBISCS,5199,Fibo382_dist
213,HLFG,1082,Fibo764_dist
214,ELKDESA,5228,Fibo382_dist
215,RGTECH,0202,Fibo764_dist
216,PPHB,8273,Fibo382_dist
217,3A,0012,Fibo236_dist
218,FAJAR,7047,Fibo382_dist
219,TADMAX,4022,Fibo236_dist
220,AMBANK,1015,Fibo618_dist
221,GAMUDA,5398,Fibo618_dist
222,WONG,7050,Fibo764_dist
223,THRIVEN,7889,Fibo618_dist
224,PERSTIM,5436,Fibo236_dist
225,SUNWAY,5211,Fibo764_dist
226,PCHEM,5183,Fibo382_dist
227,BABA,03012,Fibo236_dist
228,ARANK,7214,Fibo382_dist
229,ACME,7131,Fibo764_dist
230,ZHULIAN,5131,Fibo500_dist
231,INNATURE,5295,Fibo618_dist
232,ILB,5614,Fibo764_dist
233,PIE,7095,Fibo382_dist
234,PLABS,0171,Fibo618_dist
235,MBSB,1171,Fibo764_dist
236,KIMLUN,5171,Fibo764_dist
237,CETECH,03024,
238,GKENT,3204,Fibo500_dist
239,HARISON,5008,Fibo236_dist
240,TALIWRK,8524,Fibo500_dist
241,IGBREIT,5227,Fibo500_dist
242,KSL,5038,Fibo236_dist
243,FCW,2755,Fibo764_dist
244,ALAQAR,5116,Fibo764_dist
245,AME,5293,Fibo236_dist
246,DKSH,5908,Fibo236_dist
247,UOADEV,5200,Fibo618_dist
248,JIANKUN,8923,Fibo382_dist
249,OSK,5053,Fibo618_dist
250,TENAGA,5347,Fibo764_dist
251,UNIMECH,7091,Fibo764_dist
252,MARCO,3514,Fibo618_dist
253,TIMWELL,7854,Fibo236_dist
254,ACEINNO,03028,Fibo236_dist
255,TAMBUN,5191,Fibo764_dist
256,SPRITZER,7103,Fibo382_dist
257,GBGAQRS,5226,Fibo500_dist
258,MYNEWS,5275,Fibo764_dist
259,FIHB,8605,Fibo382_dist
260,ABMB,2488,Fibo382_dist
261,RHONEMA,5278,Fibo764_dist
262,KNUSFOR,5035,Fibo764_dist
263,WILLOW,0008,Fibo382_dist
264,TGL,9369,Fibo500_dist
265,LAMBO,0018,Fibo382_dist
266,OCNCASH,0049,Fibo618_dist
267,HLCAP,5274,
268,YSPSAH,7178,Fibo500_dist
269,TROP,5401,Fibo382_dist
270,CIMB,1023,Fibo764_dist
271,ORNA,5065,Fibo764_dist
272,WIDAD,0162,Fibo236_dist
273,OKA,7140,Fibo382_dist
274,PECCA,5271,Fibo764_dist
275,RGTBHD,9954,Fibo500_dist
276,UZMA,7250,Fibo500_dist
277,DRBHCOM,1619,Fibo382_dist
278,SUPERLN,7235,Fibo382_dist
279,FAREAST,5029,Fibo382_dist
280,YOCB,5159,Fibo236_dist
281,HTPADU,5028,Fibo382_dist
282,PAVREIT,5212,Fibo618_dist
283,LHI,6633,Fibo236_dist
284,ASIAFLE,7129,Fibo382_dist
