,symbol,code,retracement_level
708,JCY,5161,Fibo382_dist
709,ANZO,9342,
710,QUALITY,7544,
711,NPC,5047,Fibo236_dist
712,PPG,7190,Fibo764_dist
713,OPCOM,0035,Fibo382_dist
714,ORION,0079,Fibo618_dist
715,CAELY,7154,Fibo500_dist
716,SOLUTN,0093,Fibo382_dist
717,PERDANA,7108,Fibo618_dist
718,KSSC,5192,Fibo382_dist
719,JAG,0024,Fibo618_dist
720,AYS,5021,Fibo500_dist
721,TIGER,7079,Fibo764_dist
722,MYCRON,5087,Fibo500_dist
723,LKL,0182,Fibo618_dist
724,TEXCHEM,8702,Fibo382_dist
725,CJCEN,7117,Fibo500_dist
726,YILAI,5048,Fibo236_dist
727,VC,0060,Fibo764_dist
728,BJCORP,3395,Fibo500_dist
729,PMCORP,4081,Fibo382_dist
730,GCE,5592,Fibo764_dist
731,PERMAJU,7080,Close
732,SERSOL,0055,Fibo382_dist
733,GUOCO,1503,Fibo764_dist
734,EVERGRN,5101,Fibo618_dist
735,TIENWAH,7374,Fibo236_dist
736,UCREST,0005,Fibo382_dist
737,MJPERAK,8141,Fibo618_dist
738,DIGISTA,0029,Fibo382_dist
739,SUBUR,6904,
740,FARLIM,6041,Fibo500_dist
741,HUAYANG,5062,Fibo236_dist
742,FLBHD,5197,Fibo764_dist
743,JADEM,7043,Fibo764_dist
744,FOCUS,0116,Fibo236_dist
745,CHHB,5738,Fibo764_dist
746,SHH,7412,Fibo500_dist
747,BJASSET,3239,Fibo764_dist
748,WASEONG,5142,Fibo764_dist
749,SEEHUP,7053,Fibo764_dist
750,KIALIM,6211,Fibo618_dist
751,PUNCAK,6807,Fibo236_dist
752,CFM,8044,Fibo236_dist
753,SMI,4375,Fibo500_dist
754,PLS,9695,Fibo500_dist
755,HWATAI,8478,Fibo382_dist
756,OWG,5260,Fibo382_dist
757,SALUTE,0183,Fibo500_dist
758,PASDEC,6912,Fibo618_dist
759,CAREPLS,0163,Fibo382_dist
760,AASIA,7054,Fibo500_dist
761,SCOPE,0028,Fibo764_dist
762,OVERSEA,0153,
763,MNC,0103,Fibo236_dist
764,EUROSP,7094,Fibo764_dist
765,BPLANT,5254,Fibo500_dist
766,OLYMPIA,3018,Fibo764_dist
767,PTB,0038,Fibo500_dist
768,EPMB,7773,Fibo500_dist
769,SAPRES,4596,Fibo618_dist
770,GLBHD,7382,Fibo764_dist
771,SCBUILD,0109,Fibo764_dist
772,LANDMRK,1643,Fibo764_dist
773,MEDIAC,5090,Fibo618_dist
774,SNC,7943,Fibo764_dist
775,MPAY,0156,Fibo382_dist
776,TRIVE,0118,Fibo764_dist
777,HOOVER,7010,Fibo618_dist
778,NICE,7139,Fibo236_dist
779,MLAB,0085,Fibo500_dist
780,BIG,7005,Fibo500_dist
781,MITRA,9571,Fibo618_dist
782,MCOM,03022,Fibo236_dist
783,RALCO,7498,Fibo236_dist
784,CNASIA,7986,Fibo236_dist
785,AT,0072,Fibo618_dist
786,GESHEN,7197,Fibo382_dist
787,MAA,1198,Fibo236_dist
788,ASIAPLY,0105,
789,TOMYPAK,7285,Fibo500_dist
790,IDBTECH,03030,Fibo236_dist
791,MAGNA,7617,Fibo764_dist
792,EFFICEN,0064,Fibo500_dist
793,EASTLND,2097,Fibo618_dist
794,MPSOL,03019,Fibo236_dist
795,DWL,7165,Fibo764_dist
796,HSCEI-1XI,0833EA,Fibo764_dist
797,MCEMENT,3794,Fibo236_dist
798,NIHSIN,7215,Fibo382_dist
799,KWANTAS,6572,Fibo764_dist
800,AZRB,7078,Fibo382_dist
801,ANNJOO,6556,Fibo236_dist
802,AIRASIA,5099,Fibo500_dist
803,PHB,4464,Fibo500_dist
804,YLI,7014,Fibo500_dist
805,KIMHIN,5371,Fibo764_dist
806,ICONIC,9113,Fibo764_dist
807,ARMADA,5210,Fibo500_dist
808,JETSON,9083,Fibo236_dist
809,INIX,0094,Fibo382_dist
810,CNI,5104,Fibo618_dist
811,OSKVI,0053,Fibo500_dist
812,FBBHD,03026,Fibo236_dist
813,JADI,7223,Fibo618_dist
814,FSBM,9377,Fibo236_dist
815,SANICHI,0133,Fibo618_dist
816,COMPUGT,5037,Fibo764_dist
817,TANCO,2429,Fibo500_dist
818,PARLO,0022,Fibo618_dist
819,TEKSENG,7200,Fibo236_dist
820,BENALEC,5190,Fibo382_dist
821,PINEAPP,0006,
822,WOODLAN,7025,Fibo764_dist
823,CYMAO,5082,Fibo236_dist
824,SWSCAP,7186,Fibo236_dist
825,STELLA,5006,Fibo382_dist
826,GUNUNG,7676,Fibo236_dist
827,TAFI,7211,
828,WMG,6378,Fibo618_dist
829,FGV,5222,Fibo618_dist
830,WTHORSE,5009,Fibo764_dist
831,GLOTEC,5220,Fibo382_dist
832,MCLEAN,0167,Fibo618_dist
833,YGL,0086,Fibo500_dist
834,BERTAM,9814,
835,MILUX,7935,Fibo236_dist
836,SMTRACK,0169,Fibo382_dist
837,RSAWIT,5113,Fibo500_dist
838,KYM,8362,Fibo764_dist
839,HOKHENG,5165,Fibo764_dist
840,CUSCAPI,0051,Fibo764_dist
841,MYSCM,0041,Fibo382_dist
842,MCEHLDG,7004,Fibo236_dist
843,ARK,7007,Fibo500_dist
844,VERTICE,7240,Fibo618_dist
845,TDM,2054,Fibo618_dist
846,CEPCO,8435,Fibo764_dist
847,MULPHA,3905,Fibo236_dist
848,MERIDIAN,5040,Fibo500_dist
849,TTV,03020,Fibo236_dist
850,HARNLEN,7501,Fibo618_dist
851,SNTORIA,5213,Fibo764_dist
852,JTIASA,4383,Fibo500_dist
853,SEALINK,5145,Fibo618_dist
854,IQGROUP,5107,Fibo500_dist
855,REX,9946,Fibo618_dist
856,GETS,5079,Fibo382_dist
857,HWGB,9601,Fibo236_dist
858,MTRONIC,0043,Fibo382_dist
859,KGROUP,0036,Fibo618_dist
860,YONGTAI,7066,Fibo236_dist
861,MINETEC,7219,Fibo500_dist
862,MTDACPI,5924,Fibo382_dist
863,ENCORP,6076,Fibo764_dist
864,WTK,4243,Fibo382_dist
865,AEMULUS,0181,Fibo236_dist
866,GPHAROS,5649,Fibo382_dist
867,OCB,5533,Fibo764_dist
868,VERSATL,4995,Fibo382_dist
869,HUMEIND,5000,Fibo618_dist
870,PARKSON,5657,Fibo764_dist
871,TOCEAN,7218,Fibo500_dist
872,AVI,8885,Fibo618_dist
873,ITRONIC,9393,Fibo500_dist
874,JASKITA,8648,Fibo764_dist
875,FANG-2XL,0830EA,Fibo236_dist
876,NEXGRAM,0096,Fibo500_dist
877,PNEPCB,6637,Fibo382_dist
878,ALAM,5115,Fibo500_dist
879,MQTECH,0070,Fibo500_dist
880,FANG-1XI,0831EA,Fibo764_dist
881,GPACKET,0082,Fibo764_dist
882,SAUDEE,5157,Fibo618_dist
883,TSRCAP,5042,Fibo618_dist
884,AHB,7315,Fibo382_dist
885,GOB,1147,Fibo618_dist
886,PASUKGB,0177,Fibo500_dist
887,MACPIE,0140,Fibo382_dist
888,VSOLAR,0066,Fibo500_dist
889,DYNACIA,5178,Fibo618_dist
890,ENRA,8613,Fibo764_dist
891,SYF,7082,Fibo764_dist
892,CCB,2925,Fibo764_dist
893,MINDA,5166,Fibo618_dist
894,KOMARK,7017,Fibo236_dist
895,SYSCORP,5173,Fibo764_dist
896,XINGHE,0095,Fibo236_dist
897,MSM,5202,Fibo382_dist
898,EURO,7208,Fibo618_dist
899,REACH,5256,Fibo500_dist
900,NWP,5025,Fibo764_dist
901,XOX,0165,Fibo500_dist
902,SUNZEN,0148,Fibo382_dist
903,AIM,0122,Fibo764_dist
904,MMAG,0034,Fibo236_dist
905,SEB,5163,Fibo236_dist
906,LIONIND,4235,Fibo236_dist
907,YKGI,7020,Fibo500_dist
908,PDZ,6254,Fibo382_dist
909,KEYASIC,0143,Fibo500_dist
910,MTOUCHE,0092,Fibo764_dist
911,ETH,03021,Fibo236_dist
912,NETX,0020,Fibo500_dist
913,TDEX,0132,Fibo500_dist
914,HANDAL,7253,Fibo764_dist
915,EDARAN,5036,Fibo236_dist
916,POS,4634,Fibo500_dist
917,REV,0173,Fibo236_dist
918,KSTAR,5172,Fibo500_dist
919,IREKA,8834,Fibo764_dist
920,BTM,7188,Fibo500_dist
921,SEACERA,7073,Fibo382_dist
922,NGGB,7241,Fibo236_dist
923,JOHAN,3441,Fibo500_dist
924,PRG,7168,Fibo764_dist
925,PRESBHD,5204,Fibo236_dist
926,CONNECT,0102,Fibo236_dist
927,EAH,0154,Fibo764_dist
928,MEDIA,4502,Fibo236_dist
929,DGB,0152,Fibo500_dist
930,LEWEKO,8745,Fibo236_dist
931,SMRT,0117,Fibo618_dist
932,MUDAJYA,5085,Fibo618_dist
933,BSTEAD,2771,Fibo236_dist
934,MUIIND,3891,Fibo500_dist
935,LYC,0075,Fibo764_dist
936,M3TECH,0017,Fibo382_dist
937,THPLANT,5112,Fibo618_dist
938,PHARMA,7081,Fibo382_dist
939,PWORTH,7123,Fibo764_dist
940,G3,7184,Fibo618_dist
941,GOCEAN,0074,Fibo764_dist
942,ASDION,0068,Fibo500_dist
943,TFP,0145,Fibo500_dist
944,SAPNRG,5218,Fibo764_dist
945,CME,7018,Fibo500_dist
946,SCABLE,5170,Fibo500_dist
947,SINOTOP,8532,Fibo382_dist
948,DATAPRP,8338,Fibo236_dist
949,WZSATU,7245,Fibo236_dist
950,NATWIDE,9806,Fibo764_dist
951,IDMENSN,0174,Fibo382_dist
952,REDIDEA,03002,Fibo236_dist
953,DESTINI,7212,Fibo618_dist
954,M&G,5078,Fibo382_dist
955,RSENA,5270,Fibo236_dist
956,MPCORP,6548,Fibo500_dist
957,BHIC,8133,Fibo500_dist
958,KHEESAN,6203,Fibo764_dist
959,HUAAN,2739,Fibo382_dist
960,SSTEEL,5665,Fibo382_dist
961,SCOMIES,7045,Fibo500_dist
962,IPMUDA,5673,Fibo382_dist
963,PUC,0007,Fibo764_dist
964,SRIDGE,0129,Fibo382_dist
965,GOODWAY,7192,Fibo500_dist
966,SEERS,03009,Fibo236_dist
967,KTB,4847,Fibo764_dist
968,AAX,5238,Fibo382_dist
969,DOLMITE,5835,Fibo236_dist
970,IKHMAS,5268,Fibo236_dist
971,HHGROUP,0175,Fibo382_dist
972,PRKCORP,8346,Fibo618_dist
973,PRIVA,0123,Fibo382_dist
