Datetime,Close,Open,High,Low,Volume
2020-06-19 09:20:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,0
2020-06-19 09:45:00+08,0.45500001311302185,0.46000000834465027,0.46000000834465027,0.45500001311302185,35100
2020-06-19 09:52:00+08,0.45500001311302185,0.45500001311302185,0.45500001311302185,0.45500001311302185,5000
2020-06-19 09:54:00+08,0.45500001311302185,0.45500001311302185,0.45500001311302185,0.45500001311302185,19000
2020-06-19 09:55:00+08,0.45500001311302185,0.45500001311302185,0.45500001311302185,0.45500001311302185,20000
2020-06-19 10:02:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,10000
2020-06-19 10:11:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,300
2020-06-19 11:16:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,12000
2020-06-19 15:36:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,10000
2020-06-19 16:32:00+08,0.46000000834465027,0.46000000834465027,0.46000000834465027,0.46000000834465027,6000
2020-06-19 16:50:00+08,0.4650000035762787,0.4650000035762787,0.4650000035762787,0.4650000035762787,1000
