Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-06-11 09:23:00+08:00,0.315,0.315,0.315,0.315,0,0,0
2020-06-11 10:18:00+08:00,0.315,0.315,0.315,0.315,5000,0,0
2020-06-11 11:05:00+08:00,0.315,0.315,0.315,0.315,30000,0,0
2020-06-11 11:29:00+08:00,0.315,0.315,0.315,0.315,50000,0,0
2020-06-11 11:33:00+08:00,0.315,0.315,0.315,0.315,30000,0,0
2020-06-11 11:34:00+08:00,0.315,0.315,0.315,0.315,20000,0,0
2020-06-11 12:02:00+08:00,0.315,0.315,0.315,0.315,8500,0,0
2020-06-11 14:52:00+08:00,0.315,0.315,0.315,0.315,11500,0,0
2020-06-11 14:54:00+08:00,0.31,0.31,0.31,0.31,6000,0,0
2020-06-11 15:13:00+08:00,0.31,0.31,0.31,0.31,4000,0,0
2020-06-11 15:15:00+08:00,0.31,0.31,0.31,0.31,4500,0,0
2020-06-11 15:17:00+08:00,0.31,0.31,0.31,0.31,1000,0,0
2020-06-11 16:09:00+08:00,0.315,0.315,0.315,0.315,70000,0,0
2020-06-11 16:26:00+08:00,0.315,0.315,0.315,0.315,65000,0,0
