Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,5.38,5.41,5.3,5.33,2379700,0.0,0
2020-01-03,5.31,5.43,5.31,5.38,1689800,0.0,0
2020-01-06,5.37,5.37,5.3,5.33,794400,0.0,0
2020-01-07,5.33,5.48,5.33,5.46,3142200,0.0,0
2020-01-08,5.46,5.46,5.33,5.38,1794400,0.0,0
2020-01-09,5.39,5.45,5.39,5.41,3704900,0.0,0
2020-01-10,5.45,5.45,5.38,5.41,476400,0.0,0
2020-01-13,5.42,5.43,5.38,5.42,1238300,0.0,0
2020-01-14,5.42,5.46,5.41,5.44,1607800,0.0,0
2020-01-15,5.44,5.46,5.43,5.46,858500,0.0,0
2020-01-16,5.43,5.46,5.41,5.46,2102500,0.0,0
2020-01-17,5.46,5.48,5.42,5.48,2121700,0.0,0
2020-01-20,5.48,5.54,5.44,5.52,7312700,0.0,0
2020-01-21,5.56,5.79,5.56,5.77,14658800,0.0,0
2020-01-22,5.85,6.1,5.85,6.02,15565500,0.0,0
2020-01-23,6.04,6.07,5.79,5.86,11382000,0.0,0
2020-01-24,5.9,6.04,5.89,6.0,7696200,0.0,0
2020-01-28,6.17,6.41,6.16,6.22,14371300,0.0,0
2020-01-29,6.21,6.22,5.94,6.01,7466100,0.0,0
2020-01-30,6.03,6.03,5.87,5.92,9962200,0.0,0
2020-01-31,5.94,6.07,5.87,5.89,7834800,0.0,0
2020-02-03,5.86,5.9,5.71,5.77,6584800,0.0,0
2020-02-04,5.79,5.87,5.71,5.76,10553300,0.0,0
2020-02-05,5.78,5.79,5.64,5.7,12018400,0.0,0
2020-02-06,5.69,5.78,5.68,5.77,12797900,0.0,0
2020-02-07,5.78,5.84,5.71,5.77,8091100,0.0,0
2020-02-10,5.85,5.97,5.83,5.9,8657600,0.0,0
2020-02-11,5.94,5.99,5.93,5.97,9274400,0.0,0
2020-02-12,6.06,6.12,6.05,6.09,13221700,0.0,0
2020-02-13,6.09,6.1,6.02,6.08,6378500,0.0,0
2020-02-14,6.07,6.14,6.06,6.14,9304100,0.0,0
2020-02-17,6.15,6.18,6.03,6.07,6486400,0.0,0
2020-02-18,6.03,6.09,6.0,6.08,4331500,0.0,0
2020-02-19,6.09,6.09,5.86,5.89,6759700,0.0,0
2020-02-20,5.89,5.93,5.75,5.86,8059800,0.0,0
2020-02-21,5.85,5.89,5.8,5.85,3568100,0.0,0
2020-02-24,5.82,5.91,5.66,5.88,6305000,0.0,0
2020-02-25,5.88,6.1,5.87,6.02,10836900,0.0,0
2020-02-26,5.98,6.07,5.96,6.03,5479000,0.0,0
2020-02-27,6.02,6.02,5.95,6.02,4452500,0.0,0
2020-02-28,6.03,6.17,5.97,6.17,13492500,0.0,0
2020-03-02,6.07,6.15,5.98,6.03,8398100,0.0,0
2020-03-03,6.07,6.12,5.98,6.0,7268400,0.0,0
2020-03-04,6.03,6.27,6.01,6.21,13814400,0.0,0
2020-03-05,6.19,6.31,6.18,6.22,8315800,0.018,0
2020-03-06,6.19,6.41,6.17,6.39,15176600,0.0,0
2020-03-09,6.43,6.44,6.26,6.41,8750600,0.0,0
2020-03-10,6.33,6.49,6.3,6.39,6671700,0.0,0
2020-03-11,6.42,6.49,6.38,6.47,9303700,0.0,0
2020-03-12,6.49,6.66,6.49,6.56,11327900,0.0,0
2020-03-13,6.33,6.68,5.86,6.05,17560800,0.0,0
2020-03-16,6.09,6.25,5.91,6.0,13878200,0.0,0
2020-03-17,5.89,6.18,5.67,6.13,25138400,0.0,0
2020-03-18,6.35,6.47,6.05,6.14,11303600,0.0,0
2020-03-19,6.19,6.4,6.11,6.32,14493300,0.0,0
2020-03-20,6.32,6.87,6.32,6.61,16069000,0.0,0
2020-03-23,6.58,6.75,6.52,6.67,14151000,0.0,0
2020-03-24,6.74,6.97,6.59,6.59,10074400,0.0,0
2020-03-25,6.94,6.99,6.59,6.68,9098600,0.0,0
2020-03-26,6.79,6.95,6.75,6.77,8955800,0.0,0
2020-03-27,6.91,6.99,6.87,6.98,9728100,0.0,0
2020-03-30,6.98,7.05,6.74,6.79,5789900,0.0,0
