SYMBOL,CODE,DATE_,BUY_VOL_CHG_MAX,BUY_VOL_CHG_MEAN,SELL_VOL_CHG_MAX,SELL_VOL_CHG_MEAN
SIGGAS,5181,6/12/2020,400,20.96759259,1150,51.24074074
SIGGAS,5181,6/11/2020,1500,-0.559259259,390,54.65601852
SIGGAS,5181,6/10/2020,332,17.13636364,300,36.41098485
SIGGAS,5181,6/9/2020,200,-10.51086957,400,0.836956522
SIGGAS,5181,6/5/2020,1000,16.5326087,513,32.73768116
SIGGAS,5181,6/4/2020,126,1.442028986,540,34.77950311
SIGGAS,5181,6/3/2020,300,21.05645161,370,26.78091398
SIGGAS,5181,6/2/2020,450,27.66666667,200,17.1372549
SIGGAS,5181,6/1/2020,1150,73.29347826,650,18.29968944
SIGGAS,5181,5/29/2020,1000,43.99652778,1165,95.53888889
SIGGAS,5181,5/28/2020,590,5.433760684,1415,88.80413105
SIGGAS,5181,5/27/2020,600,62.97413793,885,90.47701149
SIGGAS,5181,5/22/2020,1000,58.86972222,1000,45.63851852
SIGGAS,5181,5/21/2020,1000,58.27235772,794,55.97167873
SIGGAS,5181,5/20/2020,1000,56.09675814,1494,49.61458165
SIGGAS,5181,5/19/2020,600,10.16089466,2000,53.61916787
SIGGAS,5181,5/18/2020,1000,11.10560447,3487,56.87854526
SIGGAS,5181,5/15/2020,5000,67.94987756,6300,65.40815448
SIGGAS,5181,5/14/2020,1000,34.02455357,1709,61.06954365
SIGGAS,5181,5/13/2020,1000,40.01173787,2040,44.68402907
SIGGAS,5181,5/12/2020,510,43.45823096,756,64.74750205
SIGGAS,5181,5/8/2020,400,20.03636364,500,41.36363636
SIGGAS,5181,5/6/2020,1000,41.72077922,300,43.13852814
SIGGAS,5181,5/5/2020,400,3.833333333,543,91.08333333
SIGGAS,5181,5/4/2020,500,-28.33333333,1329,-25.21491228
SIGGAS,5181,4/30/2020,200,21.89855072,500,20.50724638
SIGGAS,5181,4/29/2020,1000,150.9362245,1250,75.76870748
SIGGAS,5181,4/28/2020,200,26.66666667,1000,159.2307692
SIGGAS,5181,4/27/2020,300,13.40625,3100,132.2833333
SIGGAS,5181,4/24/2020,5000,395.1666667,1240,23.45512821
SIGGAS,5181,4/23/2020,1000,54.35333333,1160,44.268
SIGGAS,5181,4/22/2020,5000,432.3604336,2190,54.01138211
SIGGAS,5181,4/21/2020,2000,-147.938355,1190,52.31662338
SIGGAS,5181,4/20/2020,500,18.91968599,2188,83.04409938
SIGGAS,5181,4/17/2020,2000,12.59991246,1320,41.30208333
SIGGAS,5181,4/16/2020,2000,30.45719249,3208,68.973257
SIGGAS,5181,4/15/2020,1000,29.78968254,775,70.29166667
SIGGAS,5181,4/14/2020,1000,144.8333333,936,59.20833333
SIGGAS,5181,4/13/2020,1000,23.04444444,800,103.1777778
SIGGAS,5181,4/10/2020,500,10.92753623,3487,220.9855072
SIGGAS,5181,4/9/2020,1000,25.84861111,2197,80.46018519
SIGGAS,5181,4/8/2020,1000,2.028484848,4245,119.4169697
SIGGAS,5181,4/7/2020,1000,16.375,1010,96.02083333
SIGGAS,5181,4/6/2020,1000,84.72827381,2900,145.6339286
SIGGAS,5181,4/3/2020,1000,40.09053498,624,42.62962963
SIGGAS,5181,4/2/2020,1000,12.5212766,920,52.03571429
COMCORP,7195,6/12/2020,600,15.21052632,485,47.08333333
COMCORP,7195,6/11/2020,1200,86.89393939,2141,423.417316
COMCORP,7195,6/10/2020,1000,117.7083333,3000,251.9083333
COMCORP,7195,6/9/2020,500,30.59166667,450,9.340277778
COMCORP,7195,6/5/2020,200,6.902777778,5000,128.1785714
COMCORP,7195,6/4/2020,250,23.25,1806,142.1
COMCORP,7195,6/3/2020,1000,35.22222222,1000,68.33333333
COMCORP,7195,6/2/2020,1000,62.40929705,3000,271.9334845
COMCORP,7195,6/1/2020,600,54.77272727,1120,78.23232323
COMCORP,7195,5/29/2020,300,5.264705882,300,10.75490196
COMCORP,7195,5/28/2020,400,15.86850649,700,71.79220779
COMCORP,7195,5/27/2020,200,2,300,53.91666667
COMCORP,7195,5/22/2020,500,22.74242424,301,45.51515152
COMCORP,7195,5/21/2020,1000,106.1111111,200,20.92592593
