Datetime,Close,Open,High,Low,Volume
2020-06-18 09:00:00+08,2.200000047683716,2.2200000286102295,2.2200000286102295,2.200000047683716,0
2020-06-18 09:06:00+08,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,1000
2020-06-18 09:09:00+08,2.200000047683716,2.200000047683716,2.200000047683716,2.200000047683716,4800
2020-06-18 09:12:00+08,2.180000066757202,2.180000066757202,2.180000066757202,2.180000066757202,5000
2020-06-18 09:14:00+08,2.180000066757202,2.180000066757202,2.180000066757202,2.180000066757202,1000
2020-06-18 09:18:00+08,2.180000066757202,2.180000066757202,2.180000066757202,2.180000066757202,1000
2020-06-18 09:29:00+08,2.190000057220459,2.190000057220459,2.190000057220459,2.190000057220459,1500
2020-06-18 09:31:00+08,2.180000066757202,2.180000066757202,2.180000066757202,2.180000066757202,5100
2020-06-18 09:32:00+08,2.1600000858306885,2.1700000762939453,2.1700000762939453,2.1600000858306885,5200
2020-06-18 09:35:00+08,2.1700000762939453,2.1700000762939453,2.1700000762939453,2.1700000762939453,300
2020-06-18 09:36:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1500000953674316,5200
2020-06-18 09:37:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,5300
2020-06-18 09:38:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,6900
2020-06-18 09:39:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,100
2020-06-18 09:49:00+08,2.1500000953674316,2.1600000858306885,2.1600000858306885,2.1500000953674316,400
2020-06-18 09:50:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1100
2020-06-18 09:57:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1200
2020-06-18 10:01:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,7700
2020-06-18 10:06:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,5100
2020-06-18 10:09:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,7200
2020-06-18 10:10:00+08,2.1500000953674316,2.1500000953674316,2.1600000858306885,2.140000104904175,30300
2020-06-18 10:13:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,10000
2020-06-18 10:17:00+08,2.1500000953674316,2.140000104904175,2.1500000953674316,2.140000104904175,3300
2020-06-18 10:27:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,1200
2020-06-18 10:29:00+08,2.140000104904175,2.140000104904175,2.140000104904175,2.140000104904175,12300
2020-06-18 10:31:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,10000
2020-06-18 10:32:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,2200
2020-06-18 10:33:00+08,2.140000104904175,2.1500000953674316,2.1500000953674316,2.140000104904175,20000
2020-06-18 10:37:00+08,2.140000104904175,2.140000104904175,2.140000104904175,2.140000104904175,8900
2020-06-18 10:38:00+08,2.140000104904175,2.140000104904175,2.140000104904175,2.140000104904175,6700
2020-06-18 10:39:00+08,2.1500000953674316,2.130000114440918,2.1500000953674316,2.130000114440918,8200
2020-06-18 10:41:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,5400
2020-06-18 10:51:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,7400
2020-06-18 10:52:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1500
2020-06-18 10:53:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,4000
2020-06-18 10:54:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,2000
2020-06-18 10:55:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,3000
2020-06-18 10:57:00+08,2.1500000953674316,2.1600000858306885,2.1600000858306885,2.1500000953674316,38600
2020-06-18 10:58:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,2500
2020-06-18 10:59:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,2000
2020-06-18 11:00:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,30600
2020-06-18 11:03:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,12200
2020-06-18 11:04:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,13000
2020-06-18 11:06:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,1000
2020-06-18 11:07:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.1500000953674316,3000
2020-06-18 11:11:00+08,2.1500000953674316,2.1600000858306885,2.1600000858306885,2.1500000953674316,19500
2020-06-18 11:12:00+08,2.1500000953674316,2.1500000953674316,2.1500000953674316,2.140000104904175,13200
2020-06-18 11:21:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1100
2020-06-18 11:32:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,1300
2020-06-18 11:33:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,3700
2020-06-18 11:34:00+08,2.1600000858306885,2.1600000858306885,2.1600000858306885,2.1600000858306885,3600
2020-06-18 11:42:00+08,2.1700000762939453,2.1700000762939453,2.1700000762939453,2.1700000762939453,1400
