title,symbol,code,board,cat,capital,vol
AMWAY (MALAYSIA) HOLDINGS BERHAD,AMWAY,6351,Main Market,Consumer Products & Services,831.79,51.0
DUFU TECHNOLOGY CORP. BERHAD,DUFU,7233,Main Market,Industrial Products & Services,1260.75,14631.0
GUAN CHONG BERHAD,GCB,5102,Main Market,Consumer Products & Services,2920.63,15767.0
JM EDUCATION GROUP BERHAD,JMEDU,03003,Leap Market,Consumer Products & Services,37.97,0.0
SCICOM (MSC) BERHAD,SCICOM,0099,Main Market,Industrial Products & Services,351.9,14617.0
DATASONIC GROUP BERHAD,DSONIC,5216,Main Market,Technology,1701.0,232055.0
LII HEN INDUSTRIES BHD.,LIIHEN,7089,Main Market,Consumer Products & Services,412.2,2159.0
MAXIS BERHAD,MAXIS,6012,Main Market,Telecommunications & Media,41370.44,25339.0
ENEST GROUP BERHAD,ENEST,03025,Leap Market,Consumer Products & Services,60.45,0.0
POWER ROOT BERHAD,PWROOT,7237,Main Market,Consumer Products & Services,1022.99,9436.0
MB WORLD GROUP BERHAD,MBWORLD,7189,Main Market,Property,153.44,992.0
GAS MALAYSIA BERHAD,GASMSIA,5209,Main Market,Utilities,3620.88,658.0
MAGNI-TECH INDUSTRIES BERHAD,MAGNI,7087,Main Market,Consumer Products & Services,915.64,5187.0
LPI CAPITAL BHD,LPI,8621,Main Market,Financial Services,5537.52,496.0
AEON CREDIT SERVICE (M) BERHAD,AEONCR,5139,Main Market,Financial Services,2536.25,3147.0
PADINI HOLDINGS BERHAD,PADINI,7052,Main Market,Consumer Products & Services,1697.41,7200.0
SERBA DINAMIK HOLDINGS BERHAD,SERBADK,5279,Main Market,Energy,5933.13,133254.0
TH HEAVY ENGINEERING BERHAD,THHEAVY,7206,Main Market,Energy,100.92,9611.0
GLOBETRONICS TECHNOLOGY BERHAD,GTRONIC,7022,Main Market,Technology,1305.42,12635.0
FRONTKEN CORPORATION BERHAD,FRONTKN,0128,Main Market,Technology,2738.93,32546.0
SUNWAY CONSTRUCTION GROUP BERHAD,SUNCON,5263,Main Market,Construction,2456.51,2698.0
PENTAMASTER CORPORATION BERHAD,PENTA,7160,Main Market,Technology,2255.67,14636.0
OPENSYS (M) BERHAD,OPENSYS,0040,Ace Market,Technology,135.54,118287.0
HARTALEGA HOLDINGS BERHAD,HARTA,5168,Main Market,Health Care,41298.67,124509.0
BERJAYA SPORTS TOTO BERHAD,BJTOTO,1562,Main Market,Consumer Products & Services,3080.35,10298.0
MI TECHNOVATION BERHAD,MI,5286,Main Market,Technology,1777.5,51331.0
CLOUDARON GROUP BERHAD,CLOUD,03001,Leap Market,Technology,83.12,0.0
FOUNDPAC GROUP BERHAD,FPGROUP,5277,Main Market,Industrial Products & Services,428.44,63611.0
SERN KOU RESOURCES BERHAD,SERNKOU,7180,Main Market,Consumer Products & Services,233.22,5431.0
NOVA WELLNESS GROUP BERHAD,NOVA,0201,Ace Market,Health Care,227.19,15429.0
PRINCIPAL FTSE ASEAN 40 MALAYSIA ETF,PAM-A40M,0822EA,ETF,ETF-Equity,4.05,0.0
INTA BINA GROUP BERHAD,INTA,0192,Main Market,Construction,112.4,11907.0
DAYANG ENTERPRISE HOLDINGS BERHAD,DAYANG,5141,Main Market,Energy,1390.29,267818.0
SCIENTEX BERHAD,SCIENTX,4731,Main Market,Industrial Products & Services,4488.13,2306.0
KUMPULAN POWERNET BERHAD,KPOWER,7130,Main Market,Consumer Products & Services,166.69,3948.0
CARIMIN PETROLEUM BERHAD,CARIMIN,5257,Main Market,Energy,175.41,163606.0
