title,symbol,code,board,cat,capital,vol
LEONG HUP INTERNATIONAL BERHAD,LHI,6633,Main Market,Consumer Products & Services,2336.0,24523.0
ASIA FILE CORPORATION BHD,ASIAFLE,7129,Main Market,Consumer Products & Services,352.52,20.0
TECHBOND GROUP BERHAD,TECHBND,5289,Main Market,Industrial Products & Services,170.2,5521.0
SARAWAK OIL PALMS BERHAD,SOP,5126,Main Market,Plantation,1866.88,1436.0
PRINCIPAL FTSE CHINA 50 ETF,PAM-C50,0823EA,ETF,ETF-Equity,11.12,20.0
KARYON INDUSTRIES BERHAD,KARYON,0054,Main Market,Industrial Products & Services,76.11,10058.0
ES CERAMICS TECHNOLOGY BHD,ESCERAM,0100,Ace Market,Industrial Products & Services,114.06,347980.0
TELEKOM MALAYSIA BERHAD,TM,4863,Main Market,Telecommunications & Media,16117.53,85031.0
HPMT HOLDINGS BERHAD,HPMT,5291,Main Market,Industrial Products & Services,110.04,2983.0
ECOFIRST CONSOLIDATED BHD,ECOFIRS,3557,Main Market,Property,254.71,4157.0
TALAM TRANSFORM BERHAD,TALAMT,2259,Main Market,Property,107.38,14751.0
EXCEL FORCE MSC BERHAD,EFORCE,0065,Main Market,Technology,301.53,74772.0
PANTECH GROUP HOLDINGS BERHAD,PANTECH,5125,Main Market,Industrial Products & Services,289.14,5457.0
MNRB HOLDINGS BERHAD,MNRB,6459,Main Market,Financial Services,583.4,5435.0
FIAMMA HOLDINGS BERHAD,FIAMMA,6939,Main Market,Consumer Products & Services,272.86,90.0
KUB MALAYSIA BERHAD,KUB,6874,Main Market,Industrial Products & Services,214.24,69533.0
STRAITS INTER LOGISTICS BERHAD,STRAITS,0080,Ace Market,Transportation & Logistics,130.13,81207.0
HOCK SENG LEE BERHAD,HSL,6238,Main Market,Construction,658.42,765.0
ECO WORLD INTERNATIONAL BERHAD,EWINT,5283,Main Market,Property,1176.0,232489.0
PANSAR BERHAD,PANSAR,8419,Main Market,Industrial Products & Services,411.18,35128.0
SPRING ART HOLDINGS BERHAD,SPRING,0216,Ace Market,Consumer Products & Services,68.59,11057.0
ASTINO BERHAD,ASTINO,7162,Main Market,Industrial Products & Services,145.28,190.0
TUNE PROTECT GROUP BERHAD,TUNEPRO,5230,Main Market,Financial Services,255.6,29750.0
MALAKOFF CORPORATION BERHAD,MALAKOF,5264,Main Market,Utilities,4325.0,50916.0
GREENYIELD BERHAD,GREENYB,0136,Main Market,Consumer Products & Services,40.05,4051.0
COUNTRY VIEW BERHAD,CVIEW,5049,Main Market,Property,100.0,0.0
ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,OFI,7107,Main Market,Consumer Products & Services,186.0,3680.0
POH KONG HOLDINGS BERHAD,POHKONG,5080,Main Market,Consumer Products & Services,190.81,8373.0
LEADER STEEL HOLDINGS BERHAD,LSTEEL,9881,Main Market,Industrial Products & Services,29.45,247.0
HIL INDUSTRIES BERHAD,HIL,8443,Main Market,Industrial Products & Services,183.72,2483.0
CAHYA MATA SARAWAK BERHAD,CMSB,2852,Main Market,Industrial Products & Services,1772.72,62710.0
TECK GUAN PERDANA BERHAD,TECGUAN,7439,Main Market,Consumer Products & Services,36.09,114.0
PESONA METRO HOLDINGS BERHAD,PESONA,8311,Main Market,Construction,166.8,3066.0
BREM HOLDING BERHAD,BREM,8761,Main Market,Construction,243.56,5957.0
SHANGRI-LA HOTELS (MALAYSIA) BERHAD,SHANG,5517,Main Market,Consumer Products & Services,1892.0,65.0
CHIN WELL HOLDINGS BERHAD,CHINWEL,5007,Main Market,Industrial Products & Services,305.52,782.0
FIBON BERHAD,FIBON,0149,Main Market,Industrial Products & Services,27.44,250.0
LYSAGHT GALVANIZED STEEL BERHAD,LYSAGHT,9199,Main Market,Industrial Products & Services,86.07,0.0
COMPLETE LOGISTIC SERVICES BERHAD,COMPLET,5136,Main Market,Transportation & Logistics,68.14,668.0
APOLLO FOOD HOLDINGS BERHAD,APOLLO,6432,Main Market,Consumer Products & Services,258.4,40.0
KIM TECK CHEONG CONSOLIDATED BERHAD,KTC,0180,Ace Market,Consumer Products & Services,134.06,24004.0
WANG-ZHENG BERHAD,WANGZNG,7203,Main Market,Consumer Products & Services,140.8,0.0
SARAWAK CONSOLIDATED INDUSTRIES BERHAD,SCIB,9237,Main Market,Industrial Products & Services,171.77,9171.0
ASIAN PAC HOLDINGS BERHAD,ASIAPAC,4057,Main Market,Property,103.71,35162.0
SIME DARBY BERHAD,SIME,4197,Main Market,Consumer Products & Services,14895.17,90396.0
TA ENTERPRISE BERHAD,TA,4898,Main Market,Financial Services,907.31,18212.0
PARAGON UNION BERHAD,PARAGON,9407,Main Market,Consumer Products & Services,16.45,58.0
HARBOUR-LINK GROUP BERHAD,HARBOUR,2062,Main Market,Transportation & Logistics,204.2,1993.0
INNOPRISE PLANTATIONS BERHAD,INNO,6262,Main Market,Plantation,361.54,774.0
TRI-MODE SYSTEM (M) BERHAD,TRIMODE,0199,Ace Market,Transportation & Logistics,52.29,919.0
GAGASAN NADI CERGAS BERHAD,NADIBHD,0206,Ace Market,Construction,203.31,10128.0
EKOVEST BERHAD,EKOVEST,8877,Main Market,Construction,1526.53,1580883.0
CLASSIC SCENIC BERHAD,CSCENIC,7202,Main Market,Consumer Products & Services,80.74,1283.0
KIM LOONG RESOURCES BERHAD,KMLOONG,5027,Main Market,Plantation,1122.5,58.0
DOMINANT ENTERPRISE BERHAD,DOMINAN,7169,Main Market,Industrial Products & Services,117.32,5201.0
SHL CONSOLIDATED BHD,SHL,6017,Main Market,Property,472.14,0.0
LOTUS KFM BERHAD,LOTUS,8303,Main Market,Consumer Products & Services,186.22,85534.0
ADVANCECON HOLDINGS BERHAD,ADVCON,5281,Main Market,Construction,171.67,201634.0
LAY HONG BERHAD,LAYHONG,9385,Main Market,Consumer Products & Services,217.9,13793.0
TONG HERR RESOURCES BERHAD,TONGHER,5010,Main Market,Industrial Products & Services,374.68,348.0
ASIA BRANDS BERHAD,ASIABRN,7722,Main Market,Consumer Products & Services,81.43,0.0
PLB ENGINEERING BERHAD,PLB,7055,Main Market,Property,133.75,0.0
TOYO INK GROUP BERHAD,TOYOINK,7173,Main Market,Industrial Products & Services,75.97,210.0
IFCA MSC BERHAD,IFCAMSC,0023,Ace Market,Technology,222.03,118442.0
AL-SALAM REAL ESTATE INVESTMENT TRUST,ALSREIT,5269,Main Market,Real Estate Investment Trusts,406.0,21.0
EMICO HOLDINGS BERHAD,EMICO,9091,Main Market,Consumer Products & Services,15.3,3101.0
MUI PROPERTIES BERHAD,MUIPROP,3913,Main Market,Property,141.35,38678.0
KEJURUTERAAN ASASTERA BERHAD,KAB,0193,Ace Market,Industrial Products & Services,708.06,5810.0
AXIATA GROUP BERHAD,AXIATA,6888,Main Market,Telecommunications & Media,34292.21,36677.0
UNITED PLANTATIONS BERHAD,UTDPLT,2089,Main Market,Plantation,5494.75,634.0
THETA EDGE BERHAD,THETA,9075,Main Market,Technology,40.22,1791.0
GHL SYSTEMS BERHAD,GHLSYS,0021,Main Market,Technology,1393.53,10834.0
OCK GROUP BERHAD,OCK,0172,Main Market,Telecommunications & Media,551.18,32369.0
AWC BERHAD,AWC,7579,Main Market,Industrial Products & Services,142.04,51202.0
K-ONE TECHNOLOGY BERHAD,K1,0111,Ace Market,Technology,360.83,1488924.0
ROHAS TECNIC BERHAD,ROHAS,9741,Main Market,Industrial Products & Services,203.24,43337.0
P.A. RESOURCES BERHAD,PA,7225,Main Market,Industrial Products & Services,123.45,47858.0
TURBO-MECH BERHAD,TURBO,5167,Main Market,Industrial Products & Services,68.58,0.0
SIN HENG CHAN (MALAYA) BERHAD,SHCHAN,4316,Main Market,Plantation,38.24,110.0
ORIENTAL HOLDINGS BERHAD,ORIENT,4006,Main Market,Consumer Products & Services,3592.08,454.0
ZELAN BERHAD,ZELAN,2283,Main Market,Construction,50.7,26413.0
PMB TECHNOLOGY BERHAD,PMBTECH,7172,Main Market,Industrial Products & Services,621.37,1293.0
KAWAN FOOD BERHAD,KAWAN,7216,Main Market,Consumer Products & Services,690.28,6984.0
AFFIN BANK BERHAD,AFFIN,5185,Main Market,Financial Services,3515.26,3687.0
LB ALUMINIUM BERHAD,LBALUM,9326,Main Market,Industrial Products & Services,101.88,365.0
ICON OFFSHORE BERHAD,ICON,5255,Main Market,Energy,369.83,742151.0
BONIA CORPORATION BERHAD,BONIA,9288,Main Market,Consumer Products & Services,108.85,3348.0
LBS BINA GROUP BERHAD,LBS,5789,Main Market,Property,619.01,276273.0
RUBBEREX CORPORATION (M) BERHAD,RUBEREX,7803,Main Market,Industrial Products & Services,1007.05,239675.0
AEON CO. (M) BHD,AEON,6599,Main Market,Consumer Products & Services,1446.12,67411.0
CABNET HOLDINGS BERHAD,CABNET,0191,Ace Market,Technology,30.39,135.0
MAH SING GROUP BERHAD,MAHSING,8583,Main Market,Property,1347.37,800879.0
PPB GROUP BERHAD,PPB,4065,Main Market,Consumer Products & Services,24667.87,5641.0
BIOALPHA HOLDINGS BERHAD,BIOHLDG,0179,Ace Market,Consumer Products & Services,127.56,120547.0
AGESON BERHAD,AGES,7145,Main Market,Construction,144.41,1497974.0
DAGANG NEXCHANGE BERHAD,DNEX,4456,Main Market,Technology,334.04,245176.0
N2N CONNECT BERHAD,N2N,0108,Ace Market,Technology,487.27,13134.0
LUSTER INDUSTRIES BHD.,LUSTER,5068,Main Market,Industrial Products & Services,163.02,126730.0
SUCCESS TRANSFORMER CORPORATION BERHAD,SUCCESS,7207,Main Market,Industrial Products & Services,163.55,25741.0
VIZIONE HOLDINGS BERHAD,VIZIONE,7070,Main Market,Construction,235.04,411154.0
ATLAN HOLDINGS BHD,ATLAN,7048,Main Market,Consumer Products & Services,956.26,0.0
MIKRO MSC BERHAD,MIKROMB,0112,Ace Market,Technology,109.01,1155.0
BATU KAWAN BERHAD,BKAWAN,1899,Main Market,Plantation,5662.1,279.0
TEX CYCLE TECHNOLOGY (M) BERHAD,TEXCYCL,0089,Ace Market,Industrial Products & Services,105.04,47777.0
MESB BERHAD,MESB,7234,Main Market,Consumer Products & Services,21.86,4446.0
GENETEC TECHNOLOGY BERHAD,GENETEC,0104,Ace Market,Technology,57.19,402.0
MCT BERHAD,MCT,5182,Main Market,Property,298.68,86229.0
BINASAT COMMUNICATIONS BERHAD,BINACOM,0195,Ace Market,Telecommunications & Media,108.39,74345.0
TRC SYNERGY BERHAD,TRC,5054,Main Market,Construction,156.16,7530.0
AMANAHRAYA REAL ESTATE INVESTMENT TRUST,ARREIT,5127,Main Market,Real Estate Investment Trusts,386.92,3986.0
IMPIANA HOTELS BERHAD,IMPIANA,7243,Main Market,Consumer Products & Services,65.26,7590.0
CB INDUSTRIAL PRODUCT HOLDING BERHAD,CBIP,7076,Main Market,Industrial Products & Services,511.34,3542.0
IOI CORPORATION BERHAD,IOICORP,1961,Main Market,Plantation,27654.17,33398.0
UNITED MALACCA BERHAD,UMCCA,2593,Main Market,Plantation,948.16,156.0
KLCC REAL ESTATE INVESTMENT TRUST,KLCC,5235SS,Main Market,Real Estate Investment Trusts,14785.68,17326.0
AMANAH HARTA TANAH PNB,AHP,4952,Main Market,Real Estate Investment Trusts,156.2,20.0
TOMEI CONSOLIDATED BERHAD,TOMEI,7230,Main Market,Consumer Products & Services,60.98,2714.0
ECO WORLD DEVELOPMENT GROUP BERHAD,ECOWLD,8206,Main Market,Property,1560.52,643946.0
SUPERGENICS BERHAD,SGBHD,03033,Leap Market,Industrial Products & Services,27.9,0.0
SBC CORPORATION BERHAD,SBCCORP,5207,Main Market,Property,92.93,1228.0
CHIN TECK PLANTATIONS BERHAD,CHINTEK,1929,Main Market,Plantation,539.04,1.0
CHIN HIN GROUP BERHAD,CHINHIN,5273,Main Market,Industrial Products & Services,353.31,33422.0
ESTHETICS INTERNATIONAL GROUP BERHAD,EIG,5081,Main Market,Consumer Products & Services,116.23,0.0
IGB BERHAD,IGBB,5606,Main Market,Property,2381.18,2032.0
FREIGHT MANAGEMENT HOLDINGS BERHAD,FREIGHT,7210,Main Market,Transportation & Logistics,147.99,0.0
LBI CAPITAL BERHAD,LBICAP,8494,Main Market,Property,45.69,30.0
IJM CORPORATION BERHAD,IJM,3336,Main Market,Construction,6987.44,35210.0
QES GROUP BERHAD,QES,0196,Ace Market,Industrial Products & Services,136.5,103430.0
HB GLOBAL LIMITED,HBGLOB,5187,Main Market,Consumer Products & Services,32.76,2468.0
SDS GROUP BERHAD,SDS,0212,Ace Market,Consumer Products & Services,62.9,1660.0
YTL HOSPITALITY REIT,YTLREIT,5109,Main Market,Real Estate Investment Trusts,1704.39,11709.0
SUNSURIA BERHAD,SUNSURIA,3743,Main Market,Property,407.64,2932.0
SURIA CAPITAL HOLDINGS BERHAD,SURIA,6521,Main Market,Transportation & Logistics,356.19,9555.0
NAIM HOLDINGS BERHAD,NAIM,5073,Main Market,Property,336.54,106840.0
UPA CORPORATION BHD,UPA,7757,Main Market,Consumer Products & Services,152.0,20.0
MESINIAGA BERHAD,MSNIAGA,5011,Main Market,Technology,56.17,10.0
PENSONIC HOLDINGS BERHAD,PENSONI,9997,Main Market,Consumer Products & Services,38.9,700.0
CSC STEEL HOLDINGS BERHAD,CSCSTEL,5094,Main Market,Industrial Products & Services,355.3,7497.0
GD EXPRESS CARRIER BERHAD,GDEX,0078,Main Market,Transportation & Logistics,2228.36,319686.0
KUALA LUMPUR KEPONG BERHAD,KLK,2445,Main Market,Plantation,23825.63,7208.0
GENTING PLANTATIONS BERHAD,GENP,2291,Main Market,Plantation,9099.21,7295.0
KUMPULAN FIMA BERHAD,KFIMA,6491,Main Market,Industrial Products & Services,423.35,851.0
RESINTECH BERHAD,RESINTC,7232,Main Market,Industrial Products & Services,34.99,240.0
MALAYSIA AIRPORTS HOLDINGS BERHAD,AIRPORT,5014,Main Market,Transportation & Logistics,9125.55,84233.0
UMS-NEIKEN GROUP BERHAD,UMSNGB,7227,Main Market,Industrial Products & Services,61.6,0.0
GADANG HOLDINGS BHD,GADANG,9261,Main Market,Construction,364.03,243363.0
SARAWAK PLANTATION BERHAD,SWKPLNT,5135,Main Market,Plantation,462.0,375.0
BAHVEST RESOURCES BERHAD,BAHVEST,0098,Ace Market,Consumer Products & Services,490.43,23859.0
TA ANN HOLDINGS BERHAD,TAANN,5012,Main Market,Plantation,1076.52,2135.0
KECK SENG (MALAYSIA) BERHAD,KSENG,3476,Main Market,Industrial Products & Services,1351.92,450.0
SOUTHERN ACIDS (M) BERHAD,SAB,5134,Main Market,Industrial Products & Services,479.27,90.0
NOTION VTEC BERHAD,NOTION,0083,Main Market,Technology,343.38,288879.0
GENTING MALAYSIA BERHAD,GENM,4715,Main Market,Consumer Products & Services,15438.92,182802.0
TMC LIFE SCIENCES BERHAD,TMCLIFE,0101,Main Market,Health Care,914.49,5456.0
HEXZA CORPORATION BERHAD,HEXZA,3298,Main Market,Industrial Products & Services,236.45,17724.0
ANCOM BERHAD,ANCOM,4758,Main Market,Industrial Products & Services,180.64,8807.0
MUDA HOLDINGS BERHAD,MUDA,3883,Main Market,Industrial Products & Services,466.73,2177.0
PBA HOLDINGS BHD,PBA,5041,Main Market,Utilities,293.17,485.0
GENTING BERHAD,GENTING,3182,Main Market,Consumer Products & Services,17019.57,79161.0
TA GLOBAL BERHAD,TAGB,5158,Main Market,Property,1250.6,16296.0
YEE LEE CORPORATION BHD,YEELEE,5584,Main Market,Consumer Products & Services,394.71,1031.0
FIMA CORPORATION BERHAD,FIMACOR,3107,Main Market,Industrial Products & Services,348.27,0.0
SIME DARBY PROPERTY BERHAD,SIMEPROP,5288,Main Market,Property,5066.62,177793.0
YNH PROPERTY BERHAD,YNHPROP,3158,Main Market,Property,1428.3,1517.0
CREST BUILDER HOLDINGS BERHAD,CRESBLD,8591,Main Market,Construction,135.35,2675.0
JKG LAND BERHAD,JKGLAND,6769,Main Market,Property,159.24,1050.0
KANGER INTERNATIONAL BERHAD,KANGER,0170,Ace Market,Consumer Products & Services,92.64,44176.0
SCANWOLF CORPORATION BERHAD,SCNWOLF,7239,Main Market,Industrial Products & Services,18.51,18288.0
INNITY CORPORATION BERHAD,INNITY,0147,Ace Market,Telecommunications & Media,68.86,0.0
MANULIFE HOLDINGS BERHAD,MANULFE,1058,Main Market,Financial Services,433.07,6.0
RAPID SYNERGY BERHAD,RAPID,7765,Main Market,Property,633.9,1451.0
MUHIBBAH ENGINEERING (M) BHD,MUHIBAH,5703,Main Market,Construction,446.41,32275.0
WATTA HOLDING BERHAD,WATTA,7226,Main Market,Industrial Products & Services,40.13,0.0
T7 GLOBAL BERHAD,T7GLOBAL,7228,Main Market,Energy,207.42,5593.0
HCK CAPITAL GROUP BERHAD,HCK,7105,Main Market,Property,508.93,2491.0
WIDETECH (MALAYSIA) BERHAD,WIDETEC,7692,Main Market,Industrial Products & Services,24.61,0.0
MALTON BERHAD,MALTON,6181,Main Market,Property,211.26,75578.0
ACO GROUP BERHAD,ACO,0218,Ace Market,Industrial Products & Services,103.5,2480717.0
HEVEABOARD BERHAD,HEVEA,5095,Main Market,Industrial Products & Services,227.1,17378.0
MKH BERHAD,MKH,6114,Main Market,Property,709.72,6733.0
KEIN HING INTERNATIONAL BERHAD,KEINHIN,7199,Main Market,Industrial Products & Services,39.2,171.0
SCH GROUP BERHAD,SCH,0161,Ace Market,Industrial Products & Services,47.22,6354.0
KUMPULAN PERANGSANG SELANGOR BERHAD,KPS,5843,Main Market,Industrial Products & Services,309.0,1858.0
KUMPULAN H & L HIGH-TECH BERHAD,HIGHTEC,7033,Main Market,Industrial Products & Services,37.36,0.0
SIME DARBY PLANTATION BERHAD,SIMEPLT,5285,Main Market,Plantation,34147.49,21155.0
CRESCENDO CORPORATION BERHAD,CRESNDO,6718,Main Market,Property,260.83,0.0
YTL POWER INTERNATIONAL BHD,YTLPOWR,6742,Main Market,Utilities,5710.75,13171.0
UEM SUNRISE BERHAD,UEMS,5148,Main Market,Property,2336.78,345374.0
BINTAI KINDEN CORPORATION BERHAD,BINTAI,6998,Main Market,Industrial Products & Services,30.41,1100.0
CWG HOLDINGS BERHAD,CWG,9423,Main Market,Consumer Products & Services,37.89,0.0
JCBNEXT BERHAD,JCBNEXT,0058,Main Market,Industrial Products & Services,170.85,317.0
LAND & GENERAL BERHAD,L&G,3174,Main Market,Property,297.31,116799.0
SKB SHUTTERS CORPORATION BERHAD,SKBSHUT,7115,Main Market,Industrial Products & Services,16.0,0.0
GROMUTUAL BERHAD,GMUTUAL,9962,Main Market,Property,97.66,3237.0
MGB BERHAD,MGB,7595,Main Market,Construction,250.83,1473.0
BERJAYA FOOD BERHAD,BJFOOD,5196,Main Market,Consumer Products & Services,412.71,1858.0
IOI PROPERTIES GROUP BERHAD,IOIPG,5249,Main Market,Property,5946.64,16807.0
UMS HOLDINGS BERHAD,UMS,7137,Main Market,Industrial Products & Services,70.39,135.0
MESTRON HOLDINGS BERHAD,MESTRON,0207,Ace Market,Industrial Products & Services,86.9,170482.0
S P SETIA BERHAD,SPSETIA,8664,Main Market,Property,3880.78,598885.0
GRAND-FLO BERHAD,GRANFLO,0056,Main Market,Technology,113.32,5951.0
UOA REAL ESTATE INVESTMENT TRUST,UOAREIT,5110,Main Market,Real Estate Investment Trusts,515.9,156.0
AMFIRST REAL ESTATE INVESTMENT TRUST,AMFIRST,5120,Main Market,Real Estate Investment Trusts,305.45,2524.0
EVERSAFE RUBBER BERHAD,ESAFE,0190,Ace Market,Industrial Products & Services,40.9,141.0
MMC CORPORATION BERHAD,MMCCORP,2194,Main Market,Transportation & Logistics,2496.95,67732.0
GLOMAC BERHAD,GLOMAC,5020,Main Market,Property,224.03,18107.0
KNM GROUP BERHAD,KNM,7164,Main Market,Energy,674.4,1837213.0
SEAL INCORPORATED BERHAD,SEAL,4286,Main Market,Property,58.31,0.0
PJBUMI BERHAD,PJBUMI,7163,Main Market,Industrial Products & Services,11.48,0.0
SELANGOR DREDGING BERHAD,SDRED,2224,Main Market,Property,204.54,200.0
SECUREMETRIC BERHAD,SMETRIC,0203,Ace Market,Technology,60.91,108015.0
TASCO BERHAD,TASCO,5140,Main Market,Transportation & Logistics,190.0,2111.0
TSH RESOURCES BERHAD,TSH,9059,Main Market,Plantation,1236.71,50170.0
PROLEXUS BERHAD,PRLEXUS,8966,Main Market,Consumer Products & Services,119.45,16204.0
POLYDAMIC GROUP BERHAD,POLYDM,03031,Leap Market,Industrial Products & Services,17.65,0.0
EG INDUSTRIES BERHAD,EG,8907,Main Market,Industrial Products & Services,107.25,276353.0
IHH HEALTHCARE BERHAD,IHH,5225,Main Market,Health Care,48705.46,26962.0
PROGRESSIVE IMPACT CORPORATION BERHAD,PICORP,7201,Main Market,Industrial Products & Services,78.96,39744.0
VELESTO ENERGY BERHAD,VELESTO,5243,Main Market,Energy,1396.65,1417039.0
TPC PLUS BERHAD,TPC,7176,Main Market,Consumer Products & Services,58.45,200.0
KPS CONSORTIUM BERHAD,KPSCB,9121,Main Market,Industrial Products & Services,57.65,0.0
ATRIUM REAL ESTATE INVESTMENT TRUST,ATRIUM,5130,Main Market,Real Estate Investment Trusts,216.9,454.0
CAPITALAND MALAYSIA MALL TRUST,CMMT,5180,Main Market,Real Estate Investment Trusts,1726.53,574.0
MENANG CORPORATION (M) BERHAD,MENANG,1694,Main Market,Property,134.62,2846.0
CHIN HIN GROUP PROPERTY BERHAD,CHGP,7187,Main Market,Transportation & Logistics,104.2,540.0
EASTERN & ORIENTAL BERHAD,E&O,3417,Main Market,Property,655.62,152652.0
AYER HOLDINGS BERHAD,AYER,2305,Main Market,Property,411.69,0.0
I-BERHAD,IBHD,4251,Main Market,Property,195.38,40151.0
MRCB-QUILL REIT,MQREIT,5123,Main Market,Real Estate Investment Trusts,744.89,9991.0
SAPURA INDUSTRIAL BERHAD,SAPIND,7811,Main Market,Industrial Products & Services,32.75,30.0
GPP RESOURCES BERHAD,GPP,03029,Leap Market,Industrial Products & Services,45.76,0.0
PWF CORPORATION BERHAD,PWF,7134,Main Market,Consumer Products & Services,90.45,140.0
PETRON MALAYSIA REFINING & MARKETING BHD,PETRONM,3042,Main Market,Energy,1158.3,3028.0
AJIYA BERHAD,AJIYA,7609,Main Market,Industrial Products & Services,115.74,260.0
APM AUTOMOTIVE HOLDINGS BERHAD,APM,5015,Main Market,Industrial Products & Services,352.8,4296.0
NEW HOONG FATT HOLDINGS BERHAD,NHFATT,7060,Main Market,Consumer Products & Services,169.48,150.0
ECOBUILT HOLDINGS BERHAD,ECOHLDS,0059,Main Market,Telecommunications & Media,48.6,15589.0
IMASPRO CORPORATION BERHAD,IMASPRO,7222,Main Market,Industrial Products & Services,190.4,8430.0
APEX EQUITY HOLDINGS BERHAD,APEX,5088,Main Market,Financial Services,200.75,122.0
XIDELANG HOLDINGS LTD,XDL,5156,Main Market,Consumer Products & Services,126.34,956548.0
AMCORP PROPERTIES BERHAD,AMPROP,1007,Main Market,Property,256.6,1206.0
LION POSIM BERHAD,LIONPSIM,8486,Main Market,Industrial Products & Services,72.95,1175.0
PLENITUDE BERHAD,PLENITU,5075,Main Market,Property,385.35,80.0
HEXTAR GLOBAL BERHAD,HEXTAR,5151,Main Market,Industrial Products & Services,533.44,81883.0
SCGM BHD,SCGM,7247,Main Market,Industrial Products & Services,352.35,17853.0
SYCAL VENTURES BERHAD,SYCAL,9717,Main Market,Construction,77.02,800.0
IJM PLANTATIONS BERHAD,IJMPLNT,2216,Main Market,Plantation,1479.37,728.0
BERJAYA LAND BERHAD,BJLAND,4219,Main Market,Consumer Products & Services,925.06,15335.0
XIN HWA HOLDINGS BERHAD,XINHWA,5267,Main Market,Transportation & Logistics,77.76,3349.0
PRESTAR RESOURCES BERHAD,PRESTAR,9873,Main Market,Industrial Products & Services,72.72,2141.0
TOWER REAL ESTATE INVESTMENT TRUST,TWRREIT,5111,Main Market,Real Estate Investment Trusts,201.96,0.0
EDEN INC. BERHAD,EDEN,7471,Main Market,Utilities,68.57,148529.0
PROTASCO BERHAD,PRTASCO,5070,Main Market,Construction,106.51,26306.0
ANALABS RESOURCES BERHAD,ANALABS,7083,Main Market,Industrial Products & Services,132.05,0.0
ENG KAH CORPORATION BERHAD,ENGKAH,7149,Main Market,Consumer Products & Services,49.18,0.0
HENGYUAN REFINING COMPANY BERHAD,HENGYUAN,4324,Main Market,Energy,1155.0,6740.0
LOTTE CHEMICAL TITAN HOLDING BERHAD,LCTITAN,5284,Main Market,Industrial Products & Services,4869.44,224025.0
DEGEM BERHAD,DEGEM,7119,Main Market,Consumer Products & Services,146.06,234.0
MENTIGA CORPORATION BERHAD,MENTIGA,5223,Main Market,Industrial Products & Services,32.9,0.0
MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,MGRC,0155,Ace Market,Health Care,39.85,31728.0
LEON FUAT BERHAD,LEONFB,5232,Main Market,Industrial Products & Services,99.2,400.0
HEKTAR REAL ESTATE INVESTMENT TRUST,HEKTAR,5121,Main Market,Real Estate Investment Trusts,314.13,2324.0
KESM INDUSTRIES BERHAD,KESM,9334,Main Market,Technology,317.45,596.0
GFM SERVICES BERHAD,GFM,0039,Ace Market,Industrial Products & Services,82.65,17309.0
KRONOLOGI ASIA BERHAD,KRONO,0176,Ace Market,Technology,274.25,53276.0
EVERSENDAI CORPORATION BERHAD,SENDAI,5205,Main Market,Construction,222.61,10825.0
SMIS CORPORATION BERHAD,SMISCOR,7132,Main Market,Industrial Products & Services,17.02,0.0
TAN CHONG MOTOR HOLDINGS BERHAD,TCHONG,4405,Main Market,Consumer Products & Services,779.52,6985.0
HSS ENGINEERS BERHAD,HSSEB,0185,Main Market,Industrial Products & Services,314.87,8778.0
Y&G CORPORATION BHD,Y&G,7003,Main Market,Property,157.3,0.0
EONMETALL GROUP BERHAD,EMETALL,7217,Main Market,Industrial Products & Services,50.84,1802.0
KENANGA INVESTMENT BANK BERHAD,KENANGA,6483,Main Market,Financial Services,415.74,20531.0
KUCHAI DEVELOPMENT BERHAD,KUCHAI,2186,Main Market,Financial Services,167.06,0.0
METROD HOLDINGS BERHAD,METROD,6149,Main Market,Industrial Products & Services,168.0,352.0
SOLID AUTOMOTIVE BERHAD,SOLID,5242,Main Market,Consumer Products & Services,91.26,28308.0
HAP SENG PLANTATIONS HOLDINGS BERHAD,HSPLANT,5138,Main Market,Plantation,1232.0,701.0
BRIGHT PACKAGING INDUSTRY BERHAD,BRIGHT,9938,Main Market,Industrial Products & Services,40.04,6195.0
POLY GLASS FIBRE (M) BERHAD,POLY,8117,Main Market,Industrial Products & Services,63.99,265.0
MELATI EHSAN HOLDINGS BERHAD,MELATI,5129,Main Market,Construction,48.0,119.0
FITTERS DIVERSIFIED BERHAD,FITTERS,9318,Main Market,Industrial Products & Services,115.32,205090.0
ABM FUJIYA BERHAD,AFUJIYA,5198,Main Market,Industrial Products & Services,67.5,0.0
RIVERVIEW RUBBER ESTATES BERHAD,RVIEW,2542,Main Market,Plantation,182.88,25.0
HIAP TECK VENTURE BERHAD,HIAPTEK,5072,Main Market,Industrial Products & Services,229.31,23780.0
BINA DARULAMAN BERHAD,BDB,6173,Main Market,Property,89.64,402.0
DKLS INDUSTRIES BHD,DKLS,7528,Main Market,Construction,139.05,0.0
GOPENG BERHAD,GOPENG,2135,Main Market,Plantation,188.29,0.0
MHC PLANTATIONS BHD,MHC,5026,Main Market,Plantation,89.43,550.0
GUH HOLDINGS BERHAD,GUH,3247,Main Market,Industrial Products & Services,111.16,430.0
HIAP HUAT HOLDINGS BERHAD,HHHCORP,0160,Ace Market,Industrial Products & Services,33.33,4202.0
IVORY PROPERTIES GROUP BERHAD,IVORY,5175,Main Market,Property,73.51,8439.0
YTL CORPORATION BERHAD,YTL,4677,Main Market,Utilities,9975.6,32290.0
